                                             OPT                                                                             LPU
             i^i           steps           bytes        rewrites            time             i^i          clocks           bytes        rewrites            time   l.time/o.time
               0               8             360               1           0.015               0              42             240               7           0.017           1.133
               1              20             720               2           0.000               1              20             240               2           0.000             NaN
               2              63            1296              14           0.000               2             124             512              14           0.002        Infinity
               3             157            2232              36           0.001               3             308             864              36           0.005           5.000
               4             325            3744              68           0.001               4             623            1296              68           0.005           5.000
               5             603            5976             110           0.001               5             988            1872             110           0.004           4.000
               6            1039            9072             162           0.005               6            1418            2560             162           0.007           1.400
               7            1693           13176             224           0.000               7            2036            3376             224           0.013        Infinity
               8            2637           18432             296           0.000               8            2719            4336             296           0.022        Infinity
               9            3955           24984             378           0.009               9            3500            5440             378           0.032           3.556
              10            5743           32976             470           0.006              10            4409            6656             470           0.047           7.833
              11            8109           42552             572           0.008              11            5374            8016             572           0.074           9.250
              12           11173           53856             684           0.003              12            6512            9568             684           0.097          32.333
              13           15067           67032             806           0.003              13            7799           11216             806           0.126          42.000
              14           19935           82224             938           0.004              14            9106           12928             938           0.167          41.750
              15           25933           99576            1080           0.011              15           10463           14832            1080           0.239          21.727
              16           33229          119232            1232           0.007              16           12053           16832            1232           0.302          43.143
              17           42003          141336            1394           0.008              17           13660           18928            1394           0.379          47.375
              18           52447          166032            1566           0.011              18           15263           21216            1566           0.481          43.727
              19           64765          193464            1748           0.026              19           17012           23600            1748           0.552          21.231
              20           79173          223776            1940           0.026              20           18967           26112            1940           0.686          26.385
              21           95899          257112            2142           0.024              21           20987           28784            2142           0.843          35.125
              22          115183          293616            2354           0.026              22           23105           31552            2354           1.034          39.769
              23          137277          333432            2576           0.046              23           25333           34416            2576           1.188          25.826
              24          162445          376704            2808           0.053              24           27590           37472            2808           1.486          28.038
              25          190963          423576            3050           0.062              25           29960           40624            3050           1.695          27.339
              26          223119          474192            3302           0.074              26           32464           43904            3302           1.970          26.622
              27          259213          528696            3564           0.087              27           35003           47344            3564           2.263          26.011
              28          299557          587232            3836           0.088              28           37757           50880            3836           2.693          30.602
              29          344475          649944            4118           0.088              29           40555           54512            4118           3.147          35.761
              30          394303          716976            4410           0.075              30           43325           58336            4410           3.518          46.907
              31          449389          788472            4712           0.141              31           46445           62256            4712           3.912          27.745
              32          510093          864576            5024           0.156              32           49516           66304            5024           4.436          28.436
              33          576787          945432            5346           0.176              33           52700           70512            5346           4.872          27.682
              34          649855         1031184            5678           0.206              34           56141           74816            5678           5.688          27.612
              35          729693         1121976            6020           0.230              35           59536           79216            6020           6.242          27.139
              36          816709         1217952            6372           0.276              36           63092           83808            6372           7.080          25.652
              37          911323         1319256            6734           0.289              37           66809           88496            6734           7.815          27.042
              38         1013967         1426032            7106           0.315              38           70612           93312            7106           8.741          27.749
              39         1125085         1538424            7488           0.344              39           74045           98288            7488           9.740          28.314
              40         1245133         1656576            7880           0.399              40           78083          103360            7880          10.837          27.160
              41         1374579         1780632            8282           0.444              41           82135          108528            8282          12.833          28.903
              42         1513903         1910736            8694           0.518              42           86285          113888            8694          15.088          29.127
              43         1663597         2047032            9116           0.723              43           90653          119344            9116          16.719          23.124
              44         1824165         2189664            9548           0.605              44           94549          124928            9548          21.078          34.840
              45         1996123         2338776            9990           0.661              45           98942          130672            9990          28.472          43.074
              46         2179999         2494512           10442           0.703              46          103655          136512           10442          26.761          38.067
              47         2376333         2657016           10904           0.744              47          108208          142448           10904          30.695          41.257
              48         2585677         2826432           11376           0.818              48          113003          148576           11376          27.723          33.891
              49         2808595         3002904           11858           0.897              49          117515          154800           11858          27.795          30.987
              50         3045663         3186576           12350           1.008              50          122365          161152           12350          30.117          29.878
